year,rel_year,tercile,beta_main,se_main,p_main,beta_unweighted,se_unweighted,beta_bp23,se_bp23
2018,-4,T1,2.794748615702868,0.15758038178456582,2.235628621598111e-70,2.8967368250771526,0.14587691927704716,2.770969127689843,0.1777639761707288
2018,-4,T2,1.7096122684293877,0.18436138011043823,1.8071388130155752e-20,1.673489412806107,0.17484480143702014,1.6683365421241827,0.22164100622201566
2018,-4,T3,0.3771436422829527,0.2101228885889584,0.07267413163653967,0.2502005847249249,0.19666974913449178,0.42482035584298716,0.2579991935534511
2019,-3,T1,1.3972216571187597,0.12695946623466856,3.60483390127907e-28,1.4561556482817932,0.12403502561371678,1.4381912866657673,0.14643304398893298
2019,-3,T2,0.49488922687024967,0.1498991490929885,0.0009617577025267461,0.5027799722755908,0.1565357901378679,0.4486978875493639,0.1811338321620654
2019,-3,T3,-0.2766636249209917,0.16362812202339275,0.09087361050148621,-0.3453665616563479,0.16376491321446626,-0.29759980918842704,0.19810726570137172
2020,-2,T1,1.4352184559963677,0.1294438020165329,1.441349719344959e-28,1.4689807311715883,0.1259205528670177,1.477611147711959,0.1479689002968395
2020,-2,T2,0.8000422506403164,0.16130414398328521,7.055237864384413e-07,0.8007433206986125,0.16152347911354895,0.8100970543865518,0.1868993764093148
2020,-2,T3,-0.33384165465326565,0.18843168414618935,0.07644680252677673,-0.34586682915526445,0.18178209007357424,-0.39421356179361333,0.2195131957942492
2021,-1,T1,1.2466615823647738,0.09170479661508978,4.329426849122355e-42,1.2388610059786456,0.09034183306913406,1.2036086775998993,0.10581832491343378
2021,-1,T2,0.8018673157990789,0.10367072314961183,1.036050034348543e-14,0.8647103535453233,0.10440024895832722,0.8819017036875355,0.12458090591670269
2021,-1,T3,0.20567313055549666,0.12411937548982144,0.09750754349471255,0.1939458448788436,0.1191915641365697,0.1791306554779474,0.14682280832768632
2022,0,T1,0.0,0.0,,0.0,0.0,0.0,0.0
2022,0,T2,0.0,0.0,,0.0,0.0,0.0,0.0
2022,0,T3,0.0,0.0,,0.0,0.0,0.0,0.0
2023,1,T1,1.1415297800308386,0.08723869333891261,4.0046617781985715e-39,1.2495985516480193,0.07910022196843704,1.1245255177387405,0.08828003735994303
2023,1,T2,0.3368094158568705,0.09607031269800641,0.00045512832921703944,0.3118865999086807,0.08610696131727633,0.36219709612642254,0.09759014764334813
2023,1,T3,-1.6041801976942889,0.11271556946950621,5.7909178528173236e-46,-1.7174289699032252,0.1010692456188166,-1.6078116586956919,0.11379086290489017
2024,2,T1,1.3040916608023476,0.11852200630410255,3.698332293793925e-28,1.419818563044851,0.1039232888763971,1.260955755534424,0.12290259739973802
2024,2,T2,0.4747831229014828,0.12410644222557661,0.00013044748935722313,0.4707142424447807,0.10782163942124913,0.5095803197104393,0.129056287040231
2024,2,T3,-1.785406701014972,0.14362931050904415,1.78163898273524e-35,-1.9302432206560338,0.12352732837721217,-1.7542124217568704,0.14957638884431393
2025,3,T1,1.5715040132413323,0.14084124875816365,6.546114202885648e-29,1.7066056885177927,0.13723295093760435,1.5218584840650236,0.15015153386215585
2025,3,T2,0.576812612790149,0.15262610017076958,0.0001572996806032194,0.5033536435214905,0.14878480258872023,0.6753196020701517,0.15651732957280556
2025,3,T3,-1.8308743568347647,0.14900474579916537,1.0591377850264666e-34,-1.9260583050107392,0.1381600579698685,-1.8662300402204408,0.15488950886721162
