gamePk,season,level,error
598656,2019,Rookie,Failed to fetch
598659,2019,Rookie,Failed to fetch
598661,2019,Rookie,Failed to fetch
598662,2019,Rookie,Failed to fetch
598644,2019,Rookie,Failed to fetch
598663,2019,Rookie,Failed to fetch
598657,2019,Rookie,Failed to fetch
598665,2019,Rookie,Failed to fetch
598655,2019,Rookie,Failed to fetch
598660,2019,Rookie,Failed to fetch
598664,2019,Rookie,Failed to fetch
598653,2019,Rookie,Failed to fetch
598646,2019,Rookie,Failed to fetch
598654,2019,Rookie,Failed to fetch
598651,2019,Rookie,Failed to fetch
598658,2019,Rookie,Failed to fetch
598647,2019,Rookie,Failed to fetch
588999,2019,Rookie,Failed to fetch
588917,2019,Rookie,Failed to fetch
583978,2019,Rookie,Failed to fetch
583976,2019,Rookie,Failed to fetch
583979,2019,Rookie,Failed to fetch
583980,2019,Rookie,Failed to fetch
583982,2019,Rookie,Failed to fetch
583981,2019,Rookie,Failed to fetch
583983,2019,Rookie,Failed to fetch
583977,2019,Rookie,Failed to fetch
589245,2019,Rookie,Failed to fetch
588965,2019,Rookie,Failed to fetch
589109,2019,Rookie,Failed to fetch
589218,2019,Rookie,Failed to fetch
589137,2019,Rookie,Failed to fetch
589354,2019,Rookie,Failed to fetch
589274,2019,Rookie,Failed to fetch
598667,2019,Rookie,Failed to fetch
598666,2019,Rookie,Failed to fetch
598671,2019,Rookie,Failed to fetch
598672,2019,Rookie,Failed to fetch
598673,2019,Rookie,Failed to fetch
598675,2019,Rookie,Failed to fetch
598677,2019,Rookie,Failed to fetch
598674,2019,Rookie,Failed to fetch
598679,2019,Rookie,Failed to fetch
598682,2019,Rookie,Failed to fetch
598684,2019,Rookie,Failed to fetch
598668,2019,Rookie,Failed to fetch
598687,2019,Rookie,Failed to fetch
598683,2019,Rookie,Failed to fetch
598686,2019,Rookie,Failed to fetch
598680,2019,Rookie,Failed to fetch
598681,2019,Rookie,Failed to fetch
598685,2019,Rookie,Failed to fetch
598670,2019,Rookie,Failed to fetch
598678,2019,Rookie,Failed to fetch
598676,2019,Rookie,Failed to fetch
598669,2019,Rookie,Failed to fetch
589083,2019,Rookie,Failed to fetch
589246,2019,Rookie,Failed to fetch
589192,2019,Rookie,Failed to fetch
589054,2019,Rookie,Failed to fetch
589355,2019,Rookie,Failed to fetch
589300,2019,Rookie,Failed to fetch
583984,2019,Rookie,Failed to fetch
588971,2019,Rookie,Failed to fetch
583989,2019,Rookie,Failed to fetch
583986,2019,Rookie,Failed to fetch
583987,2019,Rookie,Failed to fetch
583991,2019,Rookie,Failed to fetch
583990,2019,Rookie,Failed to fetch
583988,2019,Rookie,Failed to fetch
583985,2019,Rookie,Failed to fetch
589138,2019,Rookie,Failed to fetch
589131,2019,Rookie,Failed to fetch
589027,2019,Rookie,Failed to fetch
589328,2019,Rookie,Failed to fetch
589110,2019,Rookie,Failed to fetch
598688,2019,Rookie,Failed to fetch
598689,2019,Rookie,Failed to fetch
598695,2019,Rookie,Failed to fetch
598696,2019,Rookie,Failed to fetch
598690,2019,Rookie,Failed to fetch
598703,2019,Rookie,Failed to fetch
598692,2019,Rookie,Failed to fetch
598700,2019,Rookie,Failed to fetch
598694,2019,Rookie,Failed to fetch
598708,2019,Rookie,Failed to fetch
598697,2019,Rookie,Failed to fetch
598699,2019,Rookie,Failed to fetch
598709,2019,Rookie,Failed to fetch
598698,2019,Rookie,Failed to fetch
588944,2019,Rookie,Failed to fetch
598706,2019,Rookie,Failed to fetch
589219,2019,Rookie,Failed to fetch
598701,2019,Rookie,Failed to fetch
589275,2019,Rookie,Failed to fetch
598705,2019,Rookie,Failed to fetch
588918,2019,Rookie,Failed to fetch
598707,2019,Rookie,Failed to fetch
598704,2019,Rookie,Failed to fetch
598691,2019,Rookie,Failed to fetch
598702,2019,Rookie,Failed to fetch
598693,2019,Rookie,Failed to fetch
589164,2019,Rookie,Failed to fetch
589158,2019,Rookie,Failed to fetch
583992,2019,Rookie,Failed to fetch
583995,2019,Rookie,Failed to fetch
583999,2019,Rookie,Failed to fetch
583998,2019,Rookie,Failed to fetch
583997,2019,Rookie,Failed to fetch
583994,2019,Rookie,Failed to fetch
584000,2019,Rookie,Failed to fetch
583993,2019,Rookie,Failed to fetch
583996,2019,Rookie,Failed to fetch
589055,2019,Rookie,Failed to fetch
589051,2019,Rookie,Failed to fetch
589000,2019,Rookie,Failed to fetch
584008,2019,Rookie,Failed to fetch
584001,2019,Rookie,Failed to fetch
584009,2019,Rookie,Failed to fetch
584002,2019,Rookie,Failed to fetch
584007,2019,Rookie,Failed to fetch
584004,2019,Rookie,Failed to fetch
584003,2019,Rookie,Failed to fetch
584006,2019,Rookie,Failed to fetch
584005,2019,Rookie,Failed to fetch
598711,2019,Rookie,Failed to fetch
598712,2019,Rookie,Failed to fetch
598721,2019,Rookie,Failed to fetch
598723,2019,Rookie,Failed to fetch
598726,2019,Rookie,Failed to fetch
598715,2019,Rookie,Failed to fetch
598710,2019,Rookie,Failed to fetch
